         471272881 function calls (457851614 primitive calls) in 1458.056 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19364    0.106    0.000   28.556    0.001 data_adapter.py:394(<lambda>)
    19364    0.488    0.000   28.387    0.001 array_ops.py:4589(gather)
    58306    0.494    0.000   28.219    0.000 function.py:597(__init__)
       13    0.074    0.006   28.085    2.160 _dill.py:253(dump)
       13    0.000    0.000   28.010    2.155 _dill.py:414(dump)
       13    0.000    0.000   28.010    2.155 pickle.py:398(dump)
6175618/13    9.383    0.000   28.009    2.155 pickle.py:457(save)
 53926/37    0.069    0.000   28.006    0.757 pickle.py:774(save_list)
 53926/37    0.236    0.000   28.005    0.757 pickle.py:787(_batch_appends)
303281/548    1.254    0.000   27.991    0.051 _dill.py:903(save_module_dict)
303281/548    0.461    0.000   27.986    0.051 pickle.py:814(save_dict)
303281/548    2.525    0.000   27.982    0.051 pickle.py:827(_batch_setitems)
241446/4428    0.892    0.000   27.867    0.006 pickle.py:539(save_reduce)
    19364    0.400    0.000   27.735    0.001 gen_array_ops.py:3790(gather_v2)
    58356    0.433    0.000   27.610    0.000 auto_control_deps.py:182(mark_as_return)
    81864    0.510    0.000   27.412    0.000 array_ops.py:244(identity)
    58306    3.696    0.000   27.399    0.000 function.py:412(__init__)
    81864    0.451    0.000   26.147    0.000 gen_array_ops.py:3973(identity)
2775801/1827655    1.271    0.000   22.954    0.000 contextlib.py:79(__enter__)
    38627    0.105    0.000   21.623    0.001 dataset_ops.py:569(from_tensors)
    38627    0.448    0.000   21.517    0.001 dataset_ops.py:2980(__init__)
   174079    5.482    0.000   20.008    0.000 tensor_util.py:360(make_tensor_proto)
   270394    3.254    0.000   18.883    0.000 dataset_ops.py:186(__init__)
    19331    0.073    0.000   18.179    0.001 array_ops.py:59(reshape)
   547788    3.671    0.000   17.962    0.000 func_graph.py:365(inner_cm)
    19314    0.088    0.000   17.944    0.001 dataset_ops.py:606(from_tensor_slices)
    19314    0.410    0.000   17.856    0.001 dataset_ops.py:2999(__init__)
    19331    0.150    0.000   17.553    0.001 gen_array_ops.py:8143(reshape)
    19314    0.352    0.000   16.790    0.001 iterator_ops.py:531(__del__)
    19313    0.069    0.000   16.044    0.001 dataset_ops.py:1002(concatenate)
    19313    0.371    0.000   15.975    0.001 dataset_ops.py:3504(__init__)
35899209/35897709    9.294    0.000   15.727    0.000 {built-in method builtins.isinstance}
    58488    2.969    0.000   15.101    0.000 func_graph.py:165(__init__)
    19314    0.080    0.000   14.996    0.001 gen_dataset_ops.py:1262(delete_iterator)
    32112    0.082    0.000   13.766    0.000 callbacks.py:281(_call_batch_hook)
    19317    0.201    0.000   13.748    0.001 gen_math_ops.py:7268(_range)
    32112    0.284    0.000   13.432    0.000 callbacks.py:332(_call_batch_hook_helper)
    16056    0.101    0.000   12.975    0.001 callbacks.py:432(on_train_batch_end)
   764304    0.625    0.000   12.846    0.000 nest.py:536(pack_sequence_as)
    17994    0.953    0.000   12.836    0.001 generic_utils.py:528(update)
    16056    0.074    0.000   12.818    0.001 callbacks.py:302(_call_batch_end_hook)
    38627    0.282    0.000   12.709    0.000 gen_dataset_ops.py:6595(tensor_dataset)
2775801/1832316    3.692    0.000   12.704    0.000 contextlib.py:85(__exit__)
   783622    2.074    0.000   12.562    0.000 nest.py:496(_pack_sequence_as)
   154512    0.344    0.000   12.382    0.000 dataset_ops.py:2956(__init__)
   470388   12.331    0.000   12.331    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FinishOperation}
   588369    1.025    0.000   12.143    0.000 tf_stack.py:131(extract_stack)
   470388    3.662    0.000   12.102    0.000 ops.py:3521(_create_op_helper)
    19314    0.239    0.000   11.999    0.001 gen_dataset_ops.py:6664(tensor_slice_dataset)
   470388    7.216    0.000   11.893    0.000 ops.py:1737(_NodeDef)
    19314    0.085    0.000   11.637    0.001 gen_dataset_ops.py:2003(flat_map_dataset)
    19313    0.233    0.000   11.557    0.001 gen_dataset_ops.py:853(concatenate_dataset)
   273894    1.215    0.000   11.551    0.000 func_graph.py:362(as_default)
   588369   10.883    0.000   10.885    0.000 {built-in method tensorflow.python._tf_stack.extract_stack}
    16056    0.040    0.000   10.562    0.001 callbacks.py:960(on_train_batch_end)
    16056    0.178    0.000   10.521    0.001 callbacks.py:999(_batch_update_progbar)
    58282    0.498    0.000   10.510    0.000 function.py:3632(decorated)
   116828    0.451    0.000   10.295    0.000 func_graph.py:69(convert_structure_to_signature)
   475275    6.027    0.000   10.204    0.000 ops.py:2312(inputs)
    58500    5.239    0.000    9.813    0.000 ops.py:2862(__init__)
       12    0.000    0.000    9.414    0.785 training.py:1918(save)
       12    0.000    0.000    9.414    0.785 save.py:47(save_model)
       12    0.042    0.004    9.413    0.784 save.py:40(save)
2853543/2802325    4.954    0.000    9.354    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       12    0.008    0.001    9.324    0.777 save.py:788(save)
   553980    3.080    0.000    9.221    0.000 ops.py:5580(get_controller)
     8790    0.092    0.000    9.220    0.001 iostream.py:334(flush)
   271392    1.931    0.000    8.883    0.000 base.py:800(_track_trackable)
    19314    0.088    0.000    8.816    0.000 gen_dataset_ops.py:3036(map_dataset)
    19314    0.083    0.000    8.772    0.000 gen_dataset_ops.py:5057(parallel_map_dataset_v2)
   115207    1.773    0.000    8.768    0.000 function.py:2977(_cache_key)
  1573263    8.633    0.000    8.633    0.000 {method 'acquire' of '_thread.lock' objects}
  2775801    2.453    0.000    8.476    0.000 contextlib.py:157(helper)
  2969654    1.560    0.000    8.386    0.000 nest.py:274(flatten)
     8790    0.069    0.000    8.186    0.001 threading.py:533(wait)
     8690    0.083    0.000    8.092    0.001 threading.py:263(wait)
    19314    0.247    0.000    7.968    0.000 dataset_ops.py:356(_apply_options)
1254832/963260    1.774    0.000    7.945    0.000 {built-in method builtins.any}
    58282    0.772    0.000    7.846    0.000 function.py:2767(__init__)
   803339    2.005    0.000    7.724    0.000 Hanabi.py:159(toarray)
       12    0.025    0.002    7.701    0.642 save.py:1030(_build_meta_graph)
   273904    0.678    0.000    7.594    0.000 tf_contextlib.py:25(contextmanager)
   335947    7.493    0.000    7.493    0.000 {method 'ParseFromString' of 'google.protobuf.pyext._message.CMessage' objects}
    96570    0.162    0.000    7.410    0.000 dataset_ops.py:2967(__init__)
    34119    0.169    0.000    7.354    0.000 Hanabi.py:371(save)
    58306    7.337    0.000    7.337    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphToFunction_wrapper}
  7095942    2.399    0.000    7.304    0.000 ops.py:2376(type)
   254323    1.592    0.000    7.274    0.000 ops.py:3868(_get_op_def)
    19314    0.079    0.000    7.199    0.000 dataset_ops.py:920(range)
    19314    0.323    0.000    7.120    0.000 dataset_ops.py:3570(__init__)
    38628    0.089    0.000    7.091    0.000 dataset_ops.py:1128(repeat)
    38628    0.429    0.000    7.002    0.000 dataset_ops.py:3552(__init__)
  2969654    6.608    0.000    6.826    0.000 {built-in method tensorflow.python._pywrap_utils.Flatten}
  3080563    5.370    0.000    6.500    0.000 dtypes.py:606(as_dtype)
  2038283    3.630    0.000    6.399    0.000 abc.py:180(__instancecheck__)
10290362/10286678    4.460    0.000    6.358    0.000 {built-in method builtins.getattr}
    57941    1.252    0.000    6.357    0.000 structure.py:70(normalize_element)
    19314    0.232    0.000    6.355    0.000 dataset_ops.py:4375(__init__)
   499576    0.430    0.000    6.242    0.000 Experiment.py:108(<lambda>)
    31919    0.444    0.000    6.149    0.000 Hanabi.py:259(toarray)
    34119    0.078    0.000    6.146    0.000 Hanabi.py:379(<listcomp>)
  2658926    1.331    0.000    6.121    0.000 <__array_function__ internals>:2(concatenate)
   170595    0.222    0.000    6.069    0.000 Hanabi.py:245(save)
    58452    0.441    0.000    6.051    0.000 function.py:2299(from_function_and_signature)
   656690    0.652    0.000    6.047    0.000 {built-in method _functools.reduce}
   749318    2.818    0.000    6.041    0.000 Hanabi.py:111(save)
   111874    0.292    0.000    6.031    0.000 tf_utils.py:513(to_numpy_or_python_type)
  2775801    4.870    0.000    5.922    0.000 contextlib.py:59(__init__)
   470284    0.519    0.000    5.869    0.000 ops.py:386(_create_with_tf_output)
    23236    0.418    0.000    5.825    0.000 resource_variable_ops.py:838(assign)
   170595    0.244    0.000    5.757    0.000 Hanabi.py:246(<listcomp>)
   276100    0.786    0.000    5.635    0.000 ops.py:6458(__enter__)
13593627/13592667    5.220    0.000    5.549    0.000 {built-in method builtins.hasattr}
   193139    0.491    0.000    5.515    0.000 dataset_ops.py:546(_flat_structure)
   470284    1.786    0.000    5.350    0.000 ops.py:359(__init__)
   391203    2.490    0.000    5.323    0.000 tf_decorator.py:67(make_decorator)
   116828    0.082    0.000    5.313    0.000 func_graph.py:130(<listcomp>)
    78126    0.653    0.000    5.230    0.000 func_graph.py:82(encode_arg)
   291108    0.433    0.000    5.190    0.000 Experiment.py:93(<lambda>)
    19314    0.060    0.000    5.100    0.000 dataset_ops.py:1031(prefetch)
   273904    1.305    0.000    5.043    0.000 contextlib.py:129(contextmanager)
    19314    0.364    0.000    5.040    0.000 dataset_ops.py:4289(__init__)
1054862/583681    1.672    0.000    5.038    0.000 {built-in method builtins.hash}
   470388    0.387    0.000    4.957    0.000 lock_util.py:123(__enter__)
 10934005    2.458    0.000    4.917    0.000 {method 'get' of 'dict' objects}
  7095942    4.904    0.000    4.904    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationOpType}
  2127229    4.885    0.000    4.887    0.000 {built-in method numpy.array}
   940776    4.770    0.000    4.770    0.000 {method 'ByteSize' of 'google.protobuf.pyext._message.CMessage' objects}
   115883    0.453    0.000    4.648    0.000 structure.py:299(_to_tensor_list_helper)
366180/115207    0.868    0.000    4.615    0.000 function.py:95(_make_input_signature_hashable)
   470388    1.178    0.000    4.570    0.000 lock_util.py:86(acquire)
864265/864225    1.181    0.000    4.568    0.000 base.py:453(_method_wrapper)
  3867700    2.128    0.000    4.562    0.000 compat.py:114(as_str)
   558526    2.552    0.000    4.551    0.000 nest.py:129(_sequence_like)
   154628    0.192    0.000    4.529    0.000 type_spec.py:301(__hash__)
   470388    0.428    0.000    4.523    0.000 lock_util.py:126(__exit__)
  1045894    4.429    0.000    4.429    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
   902036    4.404    0.000    4.404    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_SetAttrValueProto}
  1408824    1.610    0.000    4.387    0.000 object_identity.py:195(update)
558238/556800    1.026    0.000    4.359    0.000 nest.py:461(_packed_nest_with_indices)
    59411    0.217    0.000    4.346    0.000 tf_inspect.py:238(getfullargspec)
   251080    0.334    0.000    4.315    0.000 dataset_ops.py:2927(merge)
5220/4836    0.017    0.000    4.232    0.001 def_function.py:1052(_get_concrete_function_garbage_collected)
   258050    0.411    0.000    4.227    0.000 type_spec.py:337(__get_cmp_key)
    35310    0.127    0.000    4.144    0.000 nest.py:1061(map_structure_up_to)
   159595    0.533    0.000    4.128    0.000 Hanabi.py:212(toarray)
   540807    0.841    0.000    4.124    0.000 structure.py:257(get_flat_tensor_specs)
    58282    0.148    0.000    4.110    0.000 context.py:2346(add_function)
5196/4812    0.008    0.000    4.098    0.001 def_function.py:1091(get_concrete_function)
   470388    1.348    0.000    4.096    0.000 lock_util.py:96(release)
    19412    0.140    0.000    4.087    0.000 resource_variable_ops.py:606(numpy)
    19314    0.048    0.000    4.049    0.000 dataset_ops.py:957(zip)
174074/173874    0.313    0.000    4.032    0.000 structure.py:407(type_spec_from_value)
     1938    0.022    0.000    4.028    0.002 callbacks.py:397(on_epoch_end)
    35310    0.305    0.000    4.017    0.000 nest.py:1142(map_structure_with_tuple_paths_up_to)
    19314    0.234    0.000    4.001    0.000 dataset_ops.py:3472(__init__)
    59339    0.725    0.000    3.985    0.000 inspect.py:1089(getfullargspec)
   251080    1.088    0.000    3.980    0.000 options.py:89(merge_options)
   552968    1.460    0.000    3.971    0.000 ops.py:4091(name_scope)
    58282    0.212    0.000    3.956    0.000 context.py:1085(add_function)
5064/1224    0.012    0.000    3.929    0.003 save_impl.py:546(get_concrete_function)
  364/244    0.003    0.000    3.926    0.016 def_function.py:583(wrapped_fn)
    96569    0.150    0.000    3.871    0.000 structure.py:355(to_tensor_list)
    19314    0.180    0.000    3.867    0.000 callbacks.py:202(__init__)
   469724    0.667    0.000    3.840    0.000 tpu.py:223(tpu_replicated_input_resolver)
1368/1176    0.009    0.000    3.823    0.003 save_impl.py:401(add_trace)
    51748    1.282    0.000    3.748    0.000 function.py:2151(_build_call_outputs)
679122/258050    1.087    0.000    3.733    0.000 type_spec.py:342(__make_cmp_key)
   174074    0.561    0.000    3.718    0.000 type_spec.py:555(_type_spec_from_value)
    58282    3.690    0.000    3.690    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextAddFunction}
    19688    0.217    0.000    3.659    0.000 resource_variable_ops.py:668(read_value)
   847250    1.966    0.000    3.651    0.000 tensor_shape.py:746(__init__)
   271382    1.029    0.000    3.635    0.000 base.py:854(_handle_deferred_dependencies)
  1086340    3.624    0.000    3.624    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
   845365    1.667    0.000    3.622    0.000 dtypes.py:172(is_compatible_with)
  2620086    2.159    0.000    3.599    0.000 ops.py:5989(get_default_graph)
   470388    3.597    0.000    3.597    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewOperation}
    57966    1.212    0.000    3.590    0.000 conversion.py:129(is_whitelisted)
        1    0.003    0.003    3.527    3.527 Experiment.py:200(save)
   455772    0.395    0.000    3.499    0.000 ops.py:421(shape)
109333/23019    0.397    0.000    3.439    0.000 training.py:322(__setattr__)
   594827    0.596    0.000    3.382    0.000 {built-in method builtins.all}
    58306    0.209    0.000    3.344    0.000 function.py:1549(_set_function_spec)
    19314    0.088    0.000    3.341    0.000 data_adapter.py:995(_process_tensorlike)
   115983    0.104    0.000    3.341    0.000 structure.py:321(reduce_fn)
   318409    2.364    0.000    3.310    0.000 tensor_shape.py:1193(as_proto)
   193139    0.510    0.000    3.305    0.000 dataset_ops.py:528(_flat_shapes)
   291293    1.150    0.000    3.304    0.000 tensor_spec.py:39(__init__)
     1938    0.005    0.000    3.291    0.002 callbacks.py:971(on_epoch_end)
     1938    0.029    0.000    3.285    0.002 callbacks.py:1019(_finalize_progbar)
   470388    1.108    0.000    3.271    0.000 ops.py:4439(_apply_device_functions)
   347892    0.206    0.000    3.214    0.000 api.py:519(<genexpr>)
  1252200    2.780    0.000    3.198    0.000 object_identity.py:174(__init__)
  1417933    1.819    0.000    3.194    0.000 nest.py:203(_yield_sorted_items)
   749318    3.060    0.000    3.173    0.000 <string>:1(__init__)
  1389704    3.136    0.000    3.146    0.000 _collections_abc.py:742(__iter__)
   270403    0.413    0.000    3.135    0.000 structure.py:273(get_flat_tensor_shapes)
   216754    0.978    0.000    3.103    0.000 ops.py:444(_c_api_shape)
    58306    1.453    0.000    3.096    0.000 function.py:1562(_initialize_function_spec)
    19314    0.067    0.000    3.078    0.000 gen_dataset_ops.py:5296(range_dataset)
   793390    1.658    0.000    3.070    0.000 Hanabi.py:70(toarray)
   331886    1.559    0.000    3.067    0.000 functools.py:44(update_wrapper)
    57988    0.522    0.000    3.063    0.000 api.py:157(tf_convert)
     2376    0.010    0.000    3.062    0.001 save_impl.py:415(trace_with_training)
  7686488    1.844    0.000    3.060    0.000 pickle.py:213(write)
    35310    0.041    0.000    3.053    0.000 nest.py:1234(<listcomp>)
    35310    0.056    0.000    3.011    0.000 nest.py:1137(<lambda>)
   289910    0.384    0.000    3.008    0.000 api.py:343(_is_of_known_loaded_module)
  1611078    1.221    0.000    3.006    0.000 c_api_util.py:157(tf_buffer)
    19314    0.082    0.000    2.994    0.000 callbacks.py:274(set_model)
60271/59339    0.425    0.000    2.984    0.000 inspect.py:2183(_signature_from_callable)
   470388    2.079    0.000    2.983    0.000 lock_util.py:106(_another_group_active)
    20271    0.105    0.000    2.981    0.000 resource_variable_ops.py:643(_read_variable_op)
    31919    0.115    0.000    2.979    0.000 Hanabi.py:272(<listcomp>)
  1022313    0.655    0.000    2.978    0.000 nest.py:198(_yield_value)
    19264    0.191    0.000    2.927    0.000 training.py:2667(concat)
   170/74    0.003    0.000    2.901    0.039 def_function.py:663(_initialize)
    58031    0.150    0.000    2.897    0.000 <__array_function__ internals>:2(array_equal)
     2856    0.004    0.000    2.895    0.001 save.py:141(list_functions)
   170/74    0.001    0.000    2.852    0.039 function.py:2850(_get_concrete_function_internal_garbage_collected)
123499/32791    0.704    0.000    2.847    0.000 base_layer.py:2756(__setattr__)
  3463305    2.803    0.000    2.803    0.000 _weakrefset.py:70(__contains__)
       84    0.001    0.000    2.799    0.033 base_layer.py:3017(_list_functions_for_serialization)
       84    0.001    0.000    2.798    0.033 base_serialization.py:76(list_functions_for_serialization)
  2121579    1.061    0.000    2.784    0.000 dtypes.py:84(base_dtype)
  2109372    2.413    0.000    2.771    0.000 dtypes.py:192(__eq__)
  1246365    1.497    0.000    2.761    0.000 context.py:1851(executing_eagerly)
   939448    1.170    0.000    2.759    0.000 tpu.py:239(replace_with_unreplicated_resources)
   123644    0.356    0.000    2.758    0.000 nest.py:1379(flatten_with_tuple_paths)
    13530    0.093    0.000    2.722    0.000 Experiment.py:39(availableActions)
       50    0.002    0.000    2.698    0.054 function_base.py:2093(_get_ufunc_and_otypes)
    57982    0.346    0.000    2.685    0.000 inspect_utils.py:82(isbuiltin)
    57946    0.088    0.000    2.653    0.000 structure.py:210(from_compatible_tensor_list)
       24    0.008    0.000    2.645    0.110 save.py:168(__init__)
  1451087    1.506    0.000    2.636    0.000 compat.py:64(as_bytes)
    66825    0.277    0.000    2.613    0.000 iostream.py:195(schedule)
   181107    0.196    0.000    2.609    0.000 constant_op.py:298(_constant_eager_impl)
    58031    1.103    0.000    2.606    0.000 numeric.py:2287(array_equal)
  5015578    1.666    0.000    2.589    0.000 pickle.py:448(get)
    58557    0.041    0.000    2.571    0.000 c_api_util.py:53(__del__)
    57946    0.389    0.000    2.566    0.000 structure.py:175(_from_tensor_list_helper)
    96669    0.152    0.000    2.554    0.000 structure.py:376(<lambda>)
    58557    2.530    0.000    2.530    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_DeleteGraph}
    59339    1.040    0.000    2.506    0.000 inspect.py:2102(_signature_from_function)
    96669    0.229    0.000    2.502    0.000 type_spec.py:211(_to_tensor_list)
       12    0.000    0.000    2.501    0.208 signature_serialization.py:71(find_function_to_export)
       12    0.000    0.000    2.500    0.208 training.py:2581(_list_functions_for_serialization)
   470388    2.308    0.000    2.459    0.000 ops.py:6880(_reconstruct_sequence_inputs)
   411956    1.088    0.000    2.439    0.000 ops.py:3848(_get_tensor_by_tf_output)
  3868264    1.646    0.000    2.435    0.000 compat.py:90(as_text)
  312/192    0.008    0.000    2.417    0.013 save_impl.py:511(wrapper)
   181107    2.129    0.000    2.413    0.000 constant_op.py:70(convert_to_eager_tensor)
  1408824    0.929    0.000    2.380    0.000 object_identity.py:196(<listcomp>)
    58500    0.378    0.000    2.369    0.000 c_api_util.py:45(__init__)
    55302    0.416    0.000    2.367    0.000 tf_utils.py:531(_to_single_numpy_or_python_type)
   289910    2.361    0.000    2.361    0.000 api.py:347(<genexpr>)
  636/588    0.002    0.000    2.341    0.004 layer_serialization.py:81(_get_serialized_attributes)
       72    0.000    0.000    2.336    0.032 layer_serialization.py:77(functions_to_serialize)
       12    0.000    0.000    2.329    0.194 model_serialization.py:45(_get_serialized_attributes_internal)
   470388    0.601    0.000    2.316    0.000 threading.py:357(notify_all)
    38628    0.105    0.000    2.313    0.000 gen_dataset_ops.py:5498(repeat_dataset)
   605778    1.166    0.000    2.311    0.000 op_def_library.py:53(_SatisfiesTypeConstraint)
    19264    0.156    0.000    2.291    0.000 array_ops.py:1562(concat)
    57985    0.406    0.000    2.254    0.000 api.py:244(decorator)
   509344    1.272    0.000    2.234    0.000 ops.py:4206(unique_name)
  1873908    0.969    0.000    2.226    0.000 options.py:74(get_fn)
    39360    0.200    0.000    2.223    0.000 iostream.py:382(write)
    19314    0.061    0.000    2.221    0.000 gen_dataset_ops.py:3266(model_dataset)
    23246    0.214    0.000    2.212    0.000 resource_variable_ops.py:830(_lazy_read)
   706504    0.514    0.000    2.181    0.000 ops.py:1925(<genexpr>)
     1938    0.012    0.000    2.179    0.001 training.py:1617(reset_metrics)
   470284    2.165    0.000    2.165    0.000 c_api_util.py:190(tf_output)
      780    0.010    0.000    2.164    0.003 def_function.py:1024(_list_all_concrete_functions_for_serialization)
    20271    0.101    0.000    2.160    0.000 resource_variable_ops.py:646(read_and_set_handle)
   821095    1.342    0.000    2.114    0.000 base.py:577(_maybe_initialize_trackable)
   127676    0.227    0.000    2.099    0.000 Hanabi.py:219(<listcomp>)
   470388    1.654    0.000    2.096    0.000 ops.py:3052(_add_op)
    96669    0.291    0.000    2.089    0.000 tensor_spec.py:155(_to_components)
   120/96    0.001    0.000    2.072    0.022 utils.py:153(wrap_with_training_arg)
   120/96    0.001    0.000    2.061    0.021 tf_utils.py:42(smart_cond)
   120/96    0.001    0.000    2.060    0.021 smart_cond.py:27(smart_cond)
   120/96    0.001    0.000    2.059    0.021 utils.py:163(replace_training_and_call)
    20571    0.066    0.000    2.056    0.000 gen_resource_variable_ops.py:452(read_variable_op)
   599363    0.536    0.000    2.049    0.000 structure.py:269(<lambda>)
   207674    0.181    0.000    2.038    0.000 nest.py:1310(yield_flat_paths)
     1937    0.018    0.000    2.035    0.001 metrics.py:241(reset_states)
   474315    0.474    0.000    2.019    0.000 tensor_shape.py:1230(as_shape)
   276990    0.328    0.000    2.014    0.000 ops.py:3886(as_default)
   116758    1.354    0.000    1.984    0.000 function.py:2388(__init__)
